post_id,user_id,content,timestamp
eb19426d,user_002,긴키 지방의 어느 장소에 대하여 보고 왔다. 결말이 아쉽긴한데 초중반부는 괜츈한듯 소설 언제 보지,2025-08-17 23:30:10
308c27b0,user_002,이제 내 포스트 메뉴 만들어야해 우우,2025-08-17 23:29:38
376cbd1c,user_003,다음달 자비리스 모임 언제 하지 셋째주나 넷째주 물어봐야겠다,2025-08-17 23:25:13
18372b4c,user_003,일본대신 대전이라도 가야 하는데 언제 가지,2025-08-17 23:23:24
fd04ff61,user_003,여행가고싶다,2025-08-17 23:23:08
720baa52,user_001,데이터 쌓기 귀찮다,2025-08-17 22:41:41
fdf34416,user_001,이걸로도 써야지,2025-08-17 22:41:29
c0d6567a,user_002,작성된 글이 0개니까 에러가 뜬다,2025-08-17 22:40:40
c49aec34,user_002,근데 진짜 클로드가 나보다 코딩 훨씬 잘해서 부럽네,2025-08-17 22:39:37
0eb04eb9,user_002,클로드한테 부탁하니까 쉽긴 한데 스스로 이해는 잘 안되는 느낌,2025-08-17 22:39:19
31df6d6a,user_002,이게 바로 첫 포스트다.,2025-08-17 22:33:47
